speedX,speedY,speedZ,angle,trackPos,rpm,gear,steer_input,accel_input,brake_input
50.8373,0.114566,-0.0132299,-0.0765866,0.496388,1602.0,5,0.0,1.0,0.0
50.8201,0.0339914,0.0709976,-0.0722631,0.499518,1617.35,5,0.0,1.0,0.0
50.8028,0.0148115,0.105962,-0.0676645,0.502431,1493.81,4,0.0,1.0,0.0
50.8011,0.00916017,0.0309538,-0.0630053,0.505142,1778.73,4,0.0,1.0,0.0
50.7828,0.00502404,0.127475,-0.0583304,0.507658,1793.42,4,0.0,1.0,0.0
50.7667,0.00276624,0.0360782,-0.0536502,0.509976,1808.05,4,0.0,1.0,0.0
50.7505,0.00278434,0.0169116,-0.04897,0.512099,1822.63,4,0.0,1.0,0.0
50.7332,0.00169371,0.134109,-0.0442889,0.514027,1837.15,4,0.0,1.0,0.0
50.7174,0.000932114,0.0291988,-0.0396073,0.51576,1851.61,4,0.0,1.0,0.0
50.7012,0.00198229,-0.0115623,-0.0349253,0.517301,1742.7,3,0.0,1.0,0.0
50.6988,0.000606372,0.121831,-0.0302499,0.518649,2173.56,3,0.0,1.0,0.0
50.6833,3.26907e-05,0.0293593,-0.0255702,0.519802,2186.9,3,0.0,1.0,0.0
50.6673,0.000553805,-0.0189748,-0.0208877,0.520762,2200.22,3,0.0,1.0,0.0
50.6508,0.00078455,0.0319809,-0.0162056,0.521528,2213.53,3,0.0,1.0,0.0
50.6343,0.000427743,0.0349002,-0.011524,0.522101,2226.83,3,0.0,1.0,0.0
50.6183,0.000799558,-0.0121299,-0.00684339,0.522479,2240.1,3,0.0,1.0,0.0
50.602,0.00069642,0.0313983,-0.00216419,0.522666,2126.13,2,0.0,1.0,0.0
50.6048,0.00097479,0.0522995,0.00252789,0.522659,2769.47,2,0.0,1.0,0.0
50.5911,0.00131225,-0.00795957,0.00721138,0.522461,2781.19,2,0.0,1.0,0.0
50.5754,0.00104329,-0.00710809,0.0118887,0.522068,2792.86,2,-1.0,1.0,0.0
